archivo_original,mejor_match_nombre_completo,score,archivo_salida,accion,nota,destino_original
abelisabel _correa _velazquez.webp,,58,,movido,sin coincidencia,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\sin_coincidencia\abelisabel _correa _velazquez.webp
abrahamdario_obeso_padilla.webp,,50,,movido,sin coincidencia,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\sin_coincidencia\abrahamdario_obeso_padilla.webp
aivindariojosue_esquivel_mendoza.webp,,49,,movido,sin coincidencia,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\sin_coincidencia\aivindariojosue_esquivel_mendoza.webp
albaedna_morales_hernandez.webp,Alba Edna Morales Hernández,100,albaedna_morales_hernández.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\albaedna_morales_hernandez.webp
albertouriel_ambrosio_gonzalez.webp,Alberto Uriel Ambrocio González,96,albertouriel_ambrocio_gonzález.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_parcial\albertouriel_ambrosio_gonzalez.webp
alejandraahtziri_mendoza_sandoval.webp,Alejandra Ahtziri Mendoza Sandoval,100,alejandraahtziri_mendoza_sandoval.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\alejandraahtziri_mendoza_sandoval.webp
alejandro_noyola_guadarrama.webp,Alejandro Noyola Guadarrama,100,alejandro_noyola_guadarrama.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\alejandro_noyola_guadarrama.webp
antoniojose_ambrocio_ortiz.webp,,57,,movido,sin coincidencia,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\sin_coincidencia\antoniojose_ambrocio_ortiz.webp
carlosalberto-lezama-urtecho.webp,Carlos Alberto Lezama Urtecho,100,carlosalberto_lezama_urtecho.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\carlosalberto-lezama-urtecho.webp
carlosalberto_castellanos _velasco.webp,,63,,movido,sin coincidencia,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\sin_coincidencia\carlosalberto_castellanos _velasco.webp
